"Unique identification number of the institution","Faculty and tenure status","All ranks","Professors","Associate professors","Assistant professors","Intructors","Lecturers","No academic rank","FY","Fall","Institution_Name","Survey Code","Survey Title","FACSTAT_desc"
"215062","20","1205"," 862","343","   0","  0","  0","  0","2013","2012","University of Pennsylvania","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"215062","30"," 355","   0"," 15"," 340","  0","  0","  0","2013","2012","University of Pennsylvania","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"215062","40"," 431","   0","  0","   0","149","282","  0","2013","2012","University of Pennsylvania","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"215062","41","  97","   0","  0","   0","  0"," 97","  0","2013","2012","University of Pennsylvania","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"215062","42"," 334","   0","  0","   0","149","185","  0","2013","2012","University of Pennsylvania","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"217156","0"," 808"," 386","134"," 142","  0"," 65"," 81","2013","2012","Brown University","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"217156","10"," 801"," 386","134"," 142","  0"," 65"," 74","2013","2012","Brown University","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"217156","20"," 485"," 362","123","   0","  0","  0","  0","2013","2012","Brown University","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"217156","30"," 130","   2","  2"," 126","  0","  0","  0","2013","2012","Brown University","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"217156","40"," 186","  22","  9","  16","  0"," 65"," 74","2013","2012","Brown University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"217156","41"," 140","  20","  8","  16","  0"," 65"," 31","2013","2012","Brown University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"217156","42","  34","   1","  1","   0","  0","  0"," 32","2013","2012","Brown University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"217156","43","  12","   1","  0","   0","  0","  0"," 11","2013","2012","Brown University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, less-than-annual contract"
"217156","50","   7","   0","  0","   0","  0","  0","  7","2013","2012","Brown University","s_sis","FT Instructional Staff by rank and status","Without faculty status"
"131496","0","1173"," 389","266"," 134","  0","  0","384","2014","2013","Georgetown University","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"131496","10","1173"," 389","266"," 134","  0","  0","384","2014","2013","Georgetown University","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"131496","20"," 615"," 368","243","   4","  0","  0","  0","2014","2013","Georgetown University","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"131496","30"," 148","  13"," 13"," 122","  0","  0","  0","2014","2013","Georgetown University","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"131496","40"," 410","   8"," 10","   8","  0","  0","384","2014","2013","Georgetown University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"131496","41"," 202","   7","  9","   8","  0","  0","178","2014","2013","Georgetown University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"131496","42"," 178","   1","  1","   0","  0","  0","176","2014","2013","Georgetown University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"131496","43","  30","   0","  0","   0","  0","  0"," 30","2014","2013","Georgetown University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, less-than-annual contract"
"147767","0","2089"," 818","471"," 491"," 20","289","  0","2014","2013","Northwestern University","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"147767","10","2089"," 818","471"," 491"," 20","289","  0","2014","2013","Northwestern University","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"147767","20"," 975"," 690","285","   0","  0","  0","  0","2014","2013","Northwestern University","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"147767","30"," 286","   0"," 27"," 259","  0","  0","  0","2014","2013","Northwestern University","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"147767","40"," 828"," 128","159"," 232"," 20","289","  0","2014","2013","Northwestern University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"147767","41"," 813"," 128","159"," 232"," 20","274","  0","2014","2013","Northwestern University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"147767","42","  15","   0","  0","   0","  0"," 15","  0","2014","2013","Northwestern University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"162928","0","3496"," 871","613","1099","199","176","538","2014","2013","Johns Hopkins University","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"162928","10","3496"," 871","613","1099","199","176","538","2014","2013","Johns Hopkins University","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"162928","20"," 907"," 843"," 64","   0","  0","  0","  0","2014","2013","Johns Hopkins University","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"162928","30","1738","   4","520","1047","165","  0","  2","2014","2013","Johns Hopkins University","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"162928","40"," 851","  24"," 29","  52"," 34","176","536","2014","2013","Johns Hopkins University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"162928","41"," 263","  22"," 23","  24","  2"," 44","148","2014","2013","Johns Hopkins University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"162928","42"," 582","   1","  5","  28"," 32","132","384","2014","2013","Johns Hopkins University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"162928","43","   6","   1","  1","   0","  0","  0","  4","2014","2013","Johns Hopkins University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, less-than-annual contract"
"164924","0"," 758"," 244","257"," 217","  8"," 32","  0","2014","2013","Boston College","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"164924","10"," 758"," 244","257"," 217","  8"," 32","  0","2014","2013","Boston College","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"164924","20"," 436"," 232","204","   0","  0","  0","  0","2014","2013","Boston College","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"164924","30"," 133","   0","  0"," 133","  0","  0","  0","2014","2013","Boston College","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"164924","40"," 189","  12"," 53","  84","  8"," 32","  0","2014","2013","Boston College","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"164924","41"," 189","  12"," 53","  84","  8"," 32","  0","2014","2013","Boston College","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"168148","0"," 802"," 295","203"," 188","  8","108","  0","2014","2013","Tufts University","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"168148","10"," 802"," 295","203"," 188","  8","108","  0","2014","2013","Tufts University","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"168148","20"," 363"," 229","134","   0","  0","  0","  0","2014","2013","Tufts University","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"168148","30"," 122","   7"," 20","  95","  0","  0","  0","2014","2013","Tufts University","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"168148","40"," 317","  59"," 49","  93","  8","108","  0","2014","2013","Tufts University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"168148","41"," 208","  33"," 23","  46","  6","100","  0","2014","2013","Tufts University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"168148","42"," 105","  25"," 26","  47","  2","  5","  0","2014","2013","Tufts University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"168148","43","   4","   1","  0","   0","  0","  3","  0","2014","2013","Tufts University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, less-than-annual contract"
"179867","0","1541"," 674","302"," 341"," 32","170"," 22","2014","2013","Washington University in St Louis","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"179867","10","1541"," 674","302"," 341"," 32","170"," 22","2014","2013","Washington University in St Louis","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"179867","20"," 927"," 644","283","   0","  0","  0","  0","2014","2013","Washington University in St Louis","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"179867","30"," 352","   1"," 18"," 333","  0","  0","  0","2014","2013","Washington University in St Louis","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"179867","40"," 262","  29","  1","   8"," 32","170"," 22","2014","2013","Washington University in St Louis","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"179867","42"," 242","  28","  1","   7"," 31","153"," 22","2014","2013","Washington University in St Louis","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"179867","43","  20","   1","  0","   1","  1"," 17","  0","2014","2013","Washington University in St Louis","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, less-than-annual contract"
"182670","0"," 772"," 318","192"," 174"," 42"," 41","  5","2014","2013","Dartmouth College","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"182670","10"," 772"," 318","192"," 174"," 42"," 41","  5","2014","2013","Dartmouth College","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"182670","20"," 411"," 284","127","   0","  0","  0","  0","2014","2013","Dartmouth College","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"182670","30"," 166","   4"," 35"," 127","  0","  0","  0","2014","2013","Dartmouth College","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"182670","40"," 195","  30"," 30","  47"," 42"," 41","  5","2014","2013","Dartmouth College","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"182670","41"," 195","  30"," 30","  47"," 42"," 41","  5","2014","2013","Dartmouth College","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"190150","0","3781","1289","656","1304","121","411","  0","2014","2013","Columbia University in the City of New York","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"190150","10","3781","1289","656","1304","121","411","  0","2014","2013","Columbia University in the City of New York","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"190150","20","1049"," 866","183","   0","  0","  0","  0","2014","2013","Columbia University in the City of New York","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"190150","30"," 604","  48","106"," 412","  4"," 34","  0","2014","2013","Columbia University in the City of New York","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"190150","40","2128"," 375","367"," 892","117","377","  0","2014","2013","Columbia University in the City of New York","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"190150","41","  37","  31","  6","   0","  0","  0","  0","2014","2013","Columbia University in the City of New York","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"190150","42","1963"," 335","352"," 846"," 94","336","  0","2014","2013","Columbia University in the City of New York","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"190150","43"," 128","   9","  9","  46"," 23"," 41","  0","2014","2013","Columbia University in the City of New York","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, less-than-annual contract"
"190415","0","1745"," 757","433"," 292","  8","255","  0","2014","2013","Cornell University","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"190415","10","1745"," 757","433"," 292","  8","255","  0","2014","2013","Cornell University","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"190415","20","1124"," 724","400","   0","  0","  0","  0","2014","2013","Cornell University","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"190415","30"," 275","   6"," 19"," 250","  0","  0","  0","2014","2013","Cornell University","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"190415","40"," 346","  27"," 14","  42","  8","255","  0","2014","2013","Cornell University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"190415","41"," 247","  20"," 10","  23","  3","191","  0","2014","2013","Cornell University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"190415","42","  74","   4","  3","  13","  5"," 49","  0","2014","2013","Cornell University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"190415","43","  25","   3","  1","   6","  0"," 15","  0","2014","2013","Cornell University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, less-than-annual contract"
"198419","0","3588","1150","813","1162","306","126"," 31","2014","2013","Duke University","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"198419","10","3588","1150","813","1162","306","126"," 31","2014","2013","Duke University","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"198419","20","1269"," 913","356","   0","  0","  0","  0","2014","2013","Duke University","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"198419","30"," 470","   0","106"," 364","  0","  0","  0","2014","2013","Duke University","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"198419","40","1849"," 237","351"," 798","306","126"," 31","2014","2013","Duke University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"198419","41","1396"," 198","335"," 725","103"," 35","  0","2014","2013","Duke University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"198419","42"," 453","  39"," 16","  73","203"," 91"," 31","2014","2013","Duke University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"215062","0","1978"," 868","352"," 343","135","280","  0","2014","2013","University of Pennsylvania","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"215062","10","1978"," 868","352"," 343","135","280","  0","2014","2013","University of Pennsylvania","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"215062","20","1205"," 868","337","   0","  0","  0","  0","2014","2013","University of Pennsylvania","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"215062","30"," 358","   0"," 15"," 343","  0","  0","  0","2014","2013","University of Pennsylvania","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"215062","40"," 415","   0","  0","   0","135","280","  0","2014","2013","University of Pennsylvania","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"215062","41"," 105","   0","  0","   0","  0","105","  0","2014","2013","University of Pennsylvania","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"215062","42"," 310","   0","  0","   0","135","175","  0","2014","2013","University of Pennsylvania","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"217156","0"," 801"," 382","131"," 154","  0"," 67"," 67","2014","2013","Brown University","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"217156","10"," 796"," 382","131"," 154","  0"," 67"," 62","2014","2013","Brown University","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"217156","20"," 497"," 369","128","   0","  0","  0","  0","2014","2013","Brown University","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"217156","30"," 149","   2","  1"," 146","  0","  0","  0","2014","2013","Brown University","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"217156","40"," 150","  11","  2","   8","  0"," 67"," 62","2014","2013","Brown University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"217156","41"," 109","  10","  2","   8","  0"," 66"," 23","2014","2013","Brown University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
