"Unique identification number of the institution","Occupation and full- and part-time status","Full-time or part-time status","Occupation category","Identifies occupations consistent with previous codes","Grand total","Grand total men","Grand total women","American Indian or Alaska Native total","American Indian or Alaska Native men","American Indian or Alaska Native women","Asian total","Asian men","Asian women","Black or African American total","Black or African American men","Black or African American women","Hispanic or Latino total","Hispanic or Latino men","Hispanic or Latino women","Native Hawaiian or Other Pacific Islander total","Native Hawaiian or Other Pacific Islander men","Native Hawaiian or Other Pacific Islander women","White total","White men","White women","Two or more races total","Two or more races men","Two or more races women","Race/ethnicity unknown total","Race/ethnicity unknown men","Race/ethnicity unknown women","Nonresident alien total","Nonresident alien men","Nonresident alien women","FY","Fall","Institution_Name","Survey Code","Survey Title","FTPT_desc","OCCUPCAT_desc","SABDTYPE_desc","STAFFCAT_desc"
"131496","1310","1","310","-2","  340","  95","  245","  0"," 0"," 0","  16","  2","  14","  63"," 11","  52","   7","   1","   6"," 1"," 1"," 0","  170","  54"," 116","  5"," 1"," 4"," 23","  9"," 14","  55"," 16"," 39","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Business and Financial Operations","Not applicable, current occupation does not map to occupations prior to 2012","Business and Financial Operations"
"131496","1320","1","320","-2","  328"," 219","  109","  2"," 2"," 0","  17"," 11","   6","  52"," 35","  17","  14","  10","   4"," 2"," 2"," 0","  134","  92","  42","  3"," 3"," 0"," 27"," 17"," 10","  77"," 47"," 30","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Computer, Engineering, and Science","Not applicable, current occupation does not map to occupations prior to 2012","Computer, Engineering, and Science"
"131496","1330","1","330","-2","  286"," 129","  157","  0"," 0"," 0","   4","  0","   4","  33"," 19","  14","  15","   5","  10"," 0"," 0"," 0","  186","  87","  99","  3"," 1"," 2"," 19","  8"," 11","  26","  9"," 17","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Community, Social Service, Legal, Arts,Design, Entertainment, Sports and Media","Not applicable, current occupation does not map to occupations prior to 2012","Community Service, Legal, Arts, and Media"
"131496","1340","1","340","-2","  288","  84","  204","  1"," 1"," 0","  24","  7","  17","  16","  3","  13","   8","   4","   4"," 0"," 0"," 0","  104","  28","  76","  3"," 1"," 2"," 34","  9"," 25","  98"," 31"," 67","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Healthcare Practioners and Technical","Not applicable, current occupation does not map to occupations prior to 2012","Healthcare Practioners and Technical"
"131496","1350","1","350","-2","  269"," 160","  109","  0"," 0"," 0","   1","  1","   0"," 122"," 76","  46","  25","  13","  12"," 0"," 0"," 0","   16","  14","   2","  3"," 3"," 0","  9","  7","  2","  93"," 46"," 47","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Service Occupations","Not applicable, current occupation does not map to occupations prior to 2012","Service"
"131496","1370","1","370","-2","  638"," 152","  486","  1"," 1"," 0","  39","  7","  32"," 206"," 51"," 155","  32","   6","  26"," 3"," 0"," 3","  211","  55"," 156"," 13"," 4"," 9"," 62"," 14"," 48","  71"," 14"," 57","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Office and Administrative Support","Not applicable, current occupation does not map to occupations prior to 2012","Office and Administrative Support"
"131496","1380","1","380","-2","  125"," 124","    1","  2"," 2"," 0","   2","  2","   0","  53"," 53","   0","  12","  12","   0"," 0"," 0"," 0","   27","  26","   1","  0"," 0"," 0","  3","  3","  0","  26"," 26","  0","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Natural Resources, Construction, and Maintenance","Not applicable, current occupation does not map to occupations prior to 2012","Natural Resources, Construction, and Maintenance"
"131496","1390","1","390","-2","   71","  62","    9","  0"," 0"," 0","   1","  1","   0","  35"," 31","   4","   8","   7","   1"," 0"," 0"," 0","    5","   5","   0","  1"," 0"," 1","  0","  0","  0","  21"," 18","  3","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Production, Transportation, and Material Moving","Not applicable, current occupation does not map to occupations prior to 2012","Production, Transportation, and Material Moving"
"131496","2100","2","100","10"," 4919","2213"," 2706"," 10"," 7"," 3"," 239"," 90"," 149"," 736","327"," 409"," 199","  87"," 112"," 6"," 3"," 3"," 2333","1062","1271"," 62","24","38","325","134","191","1009","479","530","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","All staff","Full-time (occupation code prior to 2012)","Full-time total"
"131496","2200","2","200","11"," 1510"," 808","  702","  2"," 0"," 2","  85"," 43","  42","  50"," 20","  30","  31","  15","  16"," 0"," 0"," 0","  826"," 456"," 370"," 12"," 6"," 6"," 86"," 40"," 46"," 418","228","190","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Instructional, research and public service staff","Full-time postecondary teachers (occupation code prior to 2012)","Full-time, Instructional, research and public service"
"131496","2210","2","210","-2"," 1158"," 654","  504","  2"," 0"," 2","  65"," 32","  33","  42"," 20","  22","  23","  13","  10"," 0"," 0"," 0","  707"," 409"," 298","  7"," 4"," 3"," 49"," 24"," 25"," 263","152","111","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Instructional staff, total","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Instructional staff"
"131496","2220","2","220","-2","  352"," 154","  198","  0"," 0"," 0","  20"," 11","   9","   8","  0","   8","   8","   2","   6"," 0"," 0"," 0","  119","  47","  72","  5"," 2"," 3"," 37"," 16"," 21"," 155"," 76"," 79","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Research","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Research"
"131496","2250","2","250","-2","  103","  29","   74","  0"," 0"," 0","   5","  3","   2","   6","  0","   6","   1","   0","   1"," 0"," 0"," 0","   63","  18","  45","  2"," 1"," 1","  9","  2","  7","  17","  5"," 12","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Eduation Services","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Librarians and Library Technicians/Archivists, Curators, and Museum Technicians/Student and Academic Affairs and Other Education Services"
"131496","2260","2","260","-2","   79","  29","   50","  0"," 0"," 0","   5","  3","   2","   2","  0","   2","   0","   0","   0"," 0"," 0"," 0","   52","  18","  34","  1"," 1"," 0","  8","  2","  6","  11","  5","  6","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Librarians, Curators, and Archivists","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Librarians and Library Technicians/Archivists, Curators, and Museum Technicians"
"131496","2261","2","261","-2","    1","   0","    1","  0"," 0"," 0","   0","  0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    1","   0","   1","  0"," 0"," 0","  0","  0","  0","   0","  0","  0","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Archivists, Curators, and Museum Technicians","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Archivists, Curators, and Museum Technicians"
"131496","2262","2","262","-2","   78","  29","   49","  0"," 0"," 0","   5","  3","   2","   2","  0","   2","   0","   0","   0"," 0"," 0"," 0","   51","  18","  33","  1"," 1"," 0","  8","  2","  6","  11","  5","  6","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Librarians","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Librarians"
"131496","2270","2","270","-2","   24","   0","   24","  0"," 0"," 0","   0","  0","   0","   4","  0","   4","   1","   0","   1"," 0"," 0"," 0","   11","   0","  11","  1"," 0"," 1","  1","  0","  1","   6","  0","  6","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Student and Academic Affairs and Other Education Services","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Student and Academic Affairs and Other Education Services"
"131496","2300","2","300","-2"," 1056"," 381","  675","  2"," 1"," 1","  47"," 13","  34"," 115"," 36","  79","  53","  14","  39"," 0"," 0"," 0","  633"," 243"," 390"," 18"," 4","14"," 68"," 29"," 39"," 120"," 41"," 79","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Management","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Management"
"131496","2310","2","310","-2","  334","  94","  240","  0"," 0"," 0","  16","  2","  14","  63"," 11","  52","   6","   1","   5"," 1"," 1"," 0","  165","  53"," 112","  5"," 1"," 4"," 23","  9"," 14","  55"," 16"," 39","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Business and Financial Operations","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Business and Financial Operations"
"131496","2320","2","320","-2","  322"," 216","  106","  2"," 2"," 0","  17"," 11","   6","  52"," 35","  17","  14","  10","   4"," 2"," 2"," 0","  130","  89","  41","  3"," 3"," 0"," 27"," 17"," 10","  75"," 47"," 28","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Computer, Engineering, and Science","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Computer, Engineering, and Science"
"131496","2330","2","330","-2","  270"," 124","  146","  0"," 0"," 0","   4","  0","   4","  32"," 19","  13","  15","   5","  10"," 0"," 0"," 0","  177","  82","  95","  3"," 1"," 2"," 15","  8","  7","  24","  9"," 15","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Community, Social Service, Legal, Arts,Design, Entertainment, Sports and Media","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Community Service, Legal, Arts, and Media"
"131496","2340","2","340","-2","  263","  79","  184","  1"," 1"," 0","  22","  7","  15","  14","  3","  11","   8","   4","   4"," 0"," 0"," 0","   91","  24","  67","  3"," 1"," 2"," 29","  9"," 20","  95"," 30"," 65","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Healthcare Practioners and Technical","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Healthcare Practioners and Technical"
"131496","2350","2","350","-2","  258"," 154","  104","  0"," 0"," 0","   1","  1","   0"," 117"," 73","  44","  23","  13","  10"," 0"," 0"," 0","   16","  14","   2","  3"," 3"," 0","  7","  5","  2","  91"," 45"," 46","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Service Occupations","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Service"
"131496","2370","2","370","-2","  613"," 148","  465","  1"," 1"," 0","  39","  7","  32"," 203"," 50"," 153","  28","   6","  22"," 3"," 0"," 3","  201","  53"," 148"," 12"," 4"," 8"," 59"," 13"," 46","  67"," 14"," 53","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Office and Administrative Support","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Office and Administrative Support"
"131496","2380","2","380","-2","  122"," 121","    1","  2"," 2"," 0","   2","  2","   0","  52"," 52","   0","  12","  12","   0"," 0"," 0"," 0","   26","  25","   1","  0"," 0"," 0","  2","  2","  0","  26"," 26","  0","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Natural Resources, Construction, and Maintenance","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Natural Resources, Construction, and Maintenance"
"131496","2390","2","390","-2","   68","  59","    9","  0"," 0"," 0","   1","  1","   0","  32"," 28","   4","   8","   7","   1"," 0"," 0"," 0","    5","   5","   0","  1"," 0"," 1","  0","  0","  0","  21"," 18","  3","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Production, Transportation, and Material Moving","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Production, Transportation, and Material Moving"
"131496","3100","3","100","-2"," 1002"," 590","  412","  0"," 0"," 0","  24","  7","  17","  45"," 16","  29","  23","   9","  14"," 0"," 0"," 0","  583"," 379"," 204","  7"," 2"," 5","162"," 79"," 83"," 158"," 98"," 60","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","All staff","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, total"
"131496","3200","3","200","70","  883"," 554","  329","  0"," 0"," 0","  21","  7","  14","  27","  7","  20","  16","   9","   7"," 0"," 0"," 0","  529"," 359"," 170","  6"," 2"," 4","144"," 75"," 69"," 140"," 95"," 45","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Instructional, research and public service staff","Part-time postecondary teachers (occupation code prior to 2012)","Part-time, Instructional, research and public service"
"131496","3210","3","210","-2","  880"," 553","  327","  0"," 0"," 0","  21","  7","  14","  27","  7","  20","  16","   9","   7"," 0"," 0"," 0","  529"," 359"," 170","  6"," 2"," 4","144"," 75"," 69"," 137"," 94"," 43","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Instructional staff, total","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Instructional staff"
"131496","3220","3","220","-2","    3","   1","    2","  0"," 0"," 0","   0","  0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    0","   0","   0","  0"," 0"," 0","  0","  0","  0","   3","  1","  2","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Research","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Research"
"131496","3250","3","250","-2","   13","   3","   10","  0"," 0"," 0","   1","  0","   1","   2","  1","   1","   0","   0","   0"," 0"," 0"," 0","    5","   1","   4","  0"," 0"," 0","  0","  0","  0","   5","  1","  4","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Eduation Services","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Librarians and Library Technicians/Archivists, Curators, and Museum Technicians/Student and Academic Affairs and Other Education Services"
"131496","3260","3","260","-2","    7","   1","    6","  0"," 0"," 0","   0","  0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    5","   1","   4","  0"," 0"," 0","  0","  0","  0","   2","  0","  2","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Librarians, Curators, and Archivists","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Librarians and Library Technicians/Archivists, Curators, and Museum Technicians"
"131496","3262","3","262","-2","    7","   1","    6","  0"," 0"," 0","   0","  0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    5","   1","   4","  0"," 0"," 0","  0","  0","  0","   2","  0","  2","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Librarians","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Librarians"
"131496","3270","3","270","-2","    6","   2","    4","  0"," 0"," 0","   1","  0","   1","   2","  1","   1","   0","   0","   0"," 0"," 0"," 0","    0","   0","   0","  0"," 0"," 0","  0","  0","  0","   3","  1","  2","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Student and Academic Affairs and Other Education Services","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Student and Academic Affairs and Other Education Services"
"131496","3300","3","300","-2","   11","   3","    8","  0"," 0"," 0","   0","  0","   0","   1","  0","   1","   0","   0","   0"," 0"," 0"," 0","    7","   3","   4","  0"," 0"," 0","  3","  0","  3","   0","  0","  0","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Management","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Management"
"131496","3310","3","310","-2","    6","   1","    5","  0"," 0"," 0","   0","  0","   0","   0","  0","   0","   1","   0","   1"," 0"," 0"," 0","    5","   1","   4","  0"," 0"," 0","  0","  0","  0","   0","  0","  0","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Business and Financial Operations","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Business and Financial Operations"
"131496","3320","3","320","-2","    6","   3","    3","  0"," 0"," 0","   0","  0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    4","   3","   1","  0"," 0"," 0","  0","  0","  0","   2","  0","  2","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Computer, Engineering, and Science","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Computer, Engineering, and Science"
"131496","3330","3","330","-2","   16","   5","   11","  0"," 0"," 0","   0","  0","   0","   1","  0","   1","   0","   0","   0"," 0"," 0"," 0","    9","   5","   4","  0"," 0"," 0","  4","  0","  4","   2","  0","  2","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Community, Social Service, Legal, Arts,Design, Entertainment, Sports and Media","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Community Service, Legal, Arts, and Media"
"131496","3340","3","340","-2","   25","   5","   20","  0"," 0"," 0","   2","  0","   2","   2","  0","   2","   0","   0","   0"," 0"," 0"," 0","   13","   4","   9","  0"," 0"," 0","  5","  0","  5","   3","  1","  2","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Healthcare Practioners and Technical","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Healthcare Practioners and Technical"
"131496","3350","3","350","-2","   11","   6","    5","  0"," 0"," 0","   0","  0","   0","   5","  3","   2","   2","   0","   2"," 0"," 0"," 0","    0","   0","   0","  0"," 0"," 0","  2","  2","  0","   2","  1","  1","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Service Occupations","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Service Occupations"
"131496","3370","3","370","-2","   25","   4","   21","  0"," 0"," 0","   0","  0","   0","   3","  1","   2","   4","   0","   4"," 0"," 0"," 0","   10","   2","   8","  1"," 0"," 1","  3","  1","  2","   4","  0","  4","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Office and Administrative Support","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Office and Administrative Support"
"131496","3380","3","380","-2","    3","   3","    0","  0"," 0"," 0","   0","  0","   0","   1","  1","   0","   0","   0","   0"," 0"," 0"," 0","    1","   1","   0","  0"," 0"," 0","  1","  1","  0","   0","  0","  0","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Natural Resources, Construction, and Maintenance","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Natural Resources, Construction, and Maintenance"
"131496","3390","3","390","-2","    3","   3","    0","  0"," 0"," 0","   0","  0","   0","   3","  3","   0","   0","   0","   0"," 0"," 0"," 0","    0","   0","   0","  0"," 0"," 0","  0","  0","  0","   0","  0","  0","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Production, Transportation, and Material Moving","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Production, Transportation, and Material Moving"
"131496","4400","4","400","-2","  615"," 279","  336","  0"," 0"," 0","   9","  2","   7","   4","  2","   2","   9","   5","   4"," 0"," 0"," 0","  104","  43","  61","  2"," 1"," 1","297","133","164"," 190"," 93"," 97","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Graduate Assistants","Graduate Assistants","Not applicable, current occupation does not map to occupations prior to 2012","Graduate Assistants, total"
"131496","4410","4","410","-2","  422"," 199","  223","  0"," 0"," 0","   8","  2","   6","   3","  1","   2","   6","   5","   1"," 0"," 0"," 0","   76","  31","  45","  2"," 1"," 1","192"," 90","102"," 135"," 69"," 66","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Graduate Assistants","Graduate Assistants Teaching","Not applicable, current occupation does not map to occupations prior to 2012","Grad Asst., Teaching"
"131496","4420","4","420","-2","  193","  80","  113","  0"," 0"," 0","   1","  0","   1","   1","  1","   0","   3","   0","   3"," 0"," 0"," 0","   28","  12","  16","  0"," 0"," 0","105"," 43"," 62","  55"," 24"," 31","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Graduate Assistants","Graduate Assistants Research","Not applicable, current occupation does not map to occupations prior to 2012","Grad Asst., Research"
"147767","1100","1","100","-2"," 9067","4393"," 4674","  6"," 1"," 5"," 944","460"," 484"," 776","249"," 527"," 470"," 213"," 257","16"," 4","12"," 5996","2927","3069"," 44","18","26","102"," 52"," 50"," 713","469","244","2013","2012","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","All staff","Not applicable, current occupation does not map to occupations prior to 2012","Grand Total"
"147767","1200","1","200","-2"," 3363","2141"," 1222","  2"," 0"," 2"," 412","251"," 161"," 100"," 51","  49","  91","  57","  34"," 0"," 0"," 0"," 2220","1399"," 821","  9"," 3"," 6"," 46"," 27"," 19"," 483","353","130","2013","2012","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Instructional, research and public service staff","Not applicable, current occupation does not map to occupations prior to 2012","Instructional, research and public service"
"147767","1210","1","210","-2"," 2347","1495","  852","  0"," 0"," 0"," 280","175"," 105","  81"," 41","  40","  77","  50","  27"," 0"," 0"," 0"," 1803","1170"," 633","  5"," 1"," 4"," 28"," 13"," 15","  73"," 45"," 28","2013","2012","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Instructional staff, total","Not applicable, current occupation does not map to occupations prior to 2012","Instructional staff"
"147767","1220","1","220","-2"," 1016"," 646","  370","  2"," 0"," 2"," 132"," 76","  56","  19"," 10","   9","  14","   7","   7"," 0"," 0"," 0","  417"," 229"," 188","  4"," 2"," 2"," 18"," 14","  4"," 410","308","102","2013","2012","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Research","Not applicable, current occupation does not map to occupations prior to 2012","Research"
"147767","1250","1","250","-2","  244","  94","  150","  0"," 0"," 0","  12","  3","   9","  21","  8","  13","  10","   5","   5"," 1"," 0"," 1","  194","  76"," 118","  1"," 0"," 1","  3","  1","  2","   2","  1","  1","2013","2012","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Eduation Services","Not applicable, current occupation does not map to occupations prior to 2012","Librarians and Library Technicians/Archivists, Curators, and Museum Technicians/Student and Academic Affairs and Other Education Services"
