"VARNUMBER","VARNAME","DATATYPE","FIELDWIDTH","FORMAT","IMPUTATIONVAR","VARTITLE","TABLE_TRIM","ACAD_YEAR","FILENAME","VARIABLE_ID","VARTITLE_USE"
16096,"CSA","N",3,"Disc",NA,"Combined Statistical Area (CSA)","HD",2017,"hd2016.xlsx","CSA_16096","Combined Statistical Area (CSA)"
10206,"CYACTIVE","N",1,"Disc",NA,"Institution is active in current year","HD",2017,"hd2016.xlsx","CYACTIVE_10206","Institution is active in current year"
10196,"DEATHYR","N",4,"Disc",NA,"Year institution was deleted from IPEDS","HD",2017,"hd2016.xlsx","DEATHYR_10196","Year institution was deleted from IPEDS"
10126,"DEGGRANT","N",2,"Disc",NA,"Degree-granting status","HD",2017,"hd2016.xlsx","DEGGRANT_10126","Degree-granting status"
15230,"DFRCGID","N",3,"Disc",NA,"Data Feedback Report comparison group category created by NCES","HD",2017,"hd2016.xlsx","DFRCGID_15230","Data Feedback Report comparison group category created by NCES"
16000,"DFRCUSCG","N",2,"Disc",NA,"Data Feedback Report - Institution submitted a custom comparison group","HD",2017,"hd2016.xlsx","DFRCUSCG_16000","Data Feedback Report - Institution submitted a custom comparison group"
10060,"DISAURL","A",200,"Alpha",NA,"Disability Services Web Address","HD",2017,"hd2016.xlsx","DISAURL_10060","Disability Services Web Address"
10063,"DUNS","A",2000,"Cont",NA,"Dun and Bradstreet numbers","HD",2017,"hd2016.xlsx","DUNS_10063","Dun and Bradstreet numbers"
10061,"EIN","A",9,"Cont",NA,"Employer Identification Number","HD",2017,"hd2016.xlsx","EIN_10061","Employer Identification Number"
16070,"F1SYSCOD","A",6,"Disc",NA,"Identification number of multi-institution or multi-campus organization","HD",2017,"hd2016.xlsx","F1SYSCOD_16070","Identification number of multi-institution or multi-campus organization"
16071,"F1SYSNAM","A",80,"Alpha",NA,"Name of multi-institution or multi-campus organization","HD",2017,"hd2016.xlsx","F1SYSNAM_16071","Name of multi-institution or multi-campus organization"
16066,"F1SYSTYP","N",2,"Disc",NA,"Multi-institution or multi-campus organization","HD",2017,"hd2016.xlsx","F1SYSTYP_16066","Multi-institution or multi-campus organization"
10053,"FAIDURL","A",200,"Alpha",NA,"Financial aid office web address","HD",2017,"hd2016.xlsx","FAIDURL_10053","Financial aid office web address"
10026,"FIPS","N",2,"Disc",NA,"FIPS state code","HD",2017,"hd2016.xlsx","FIPS_10026","FIPS state code"
10046,"GENTELE","A",15,"Alpha",NA,"General information telephone number","HD",2017,"hd2016.xlsx","GENTELE_10046","General information telephone number"
10111,"GROFFER","N",2,"Disc",NA,"Graduate offering","HD",2017,"hd2016.xlsx","GROFFER_10111","Graduate offering"
10151,"HBCU","N",2,"Disc",NA,"Historically Black College or University","HD",2017,"hd2016.xlsx","HBCU_10151","Historically Black College or University"
10122,"HDEGOFR1","N",2,"Disc",NA,"Highest degree offered","HD",2017,"hd2016.xlsx","HDEGOFR1_10122","Highest degree offered"
10101,"HLOFFER","N",2,"Disc",NA,"Highest level of offering","HD",2017,"hd2016.xlsx","HLOFFER_10101","Highest level of offering"
10156,"HOSPITAL","N",2,"Disc",NA,"Institution has hospital","HD",2017,"hd2016.xlsx","HOSPITAL_10156","Institution has hospital"
16081,"IALIAS","A",2000,"Alpha",NA,"Institution name alias","HD",2017,"hd2016.xlsx","IALIAS_16081","Institution name alias"
10091,"ICLEVEL","N",2,"Disc",NA,"Level of institution","HD",2017,"hd2016.xlsx","ICLEVEL_10091","Level of institution"
15210,"INSTCAT","N",2,"Disc",NA,"Institutional category","HD",2017,"hd2016.xlsx","INSTCAT_15210","Institutional category"
10001,"INSTNM","A",120,"Alpha",NA,"Institution (entity) name","HD",2017,"hd2016.xlsx","INSTNM_10001","Institution (entity) name"
23357,"INSTSIZE","N",2,"Disc",NA,"Institution size category","HD",2017,"hd2016.xlsx","INSTSIZE_23357","Institution size category"
15225,"LANDGRNT","N",2,"Disc",NA,"Land Grant Institution","HD",2017,"hd2016.xlsx","LANDGRNT_15225","Land Grant Institution"
16111,"LATITUDE","N",12,"Cont",NA,"Latitude location of institution","HD",2017,"hd2016.xlsx","LATITUDE_16111","Latitude location of institution"
10176,"LOCALE","N",2,"Disc",NA,"Degree of urbanization (Urban-centric locale)","HD",2017,"hd2016.xlsx","LOCALE_10176","Degree of urbanization (Urban-centric locale)"
16106,"LONGITUD","N",12,"Cont",NA,"Longitude location of institution","HD",2017,"hd2016.xlsx","LONGITUD_16106","Longitude location of institution"
10161,"MEDICAL","N",2,"Disc",NA,"Institution grants a medical degree","HD",2017,"hd2016.xlsx","MEDICAL_10161","Institution grants a medical degree"
16099,"NECTA","N",5,"Disc",NA,"New England City and Town Area (NECTA)","HD",2017,"hd2016.xlsx","NECTA_16099","New England City and Town Area (NECTA)"
10191,"NEWID","N",6,"Cont",NA,"UNITID for merged schools","HD",2017,"hd2016.xlsx","NEWID_10191","UNITID for merged schools"
10083,"NPRICURL","A",200,"Alpha",NA,"Net price calculator web address","HD",2017,"hd2016.xlsx","NPRICURL_10083","Net price calculator web address"
10031,"OBEREG","N",2,"Disc",NA,"Bureau of Economic Analysis (BEA) regions","HD",2017,"hd2016.xlsx","OBEREG_10031","Bureau of Economic Analysis (BEA) regions"
10076,"OPEFLAG","N",1,"Disc",NA,"OPE Title IV eligibility indicator code","HD",2017,"hd2016.xlsx","OPEFLAG_10076","OPE Title IV eligibility indicator code"
10071,"OPEID","A",8,"Cont",NA,"Office of Postsecondary Education (OPE) ID Number","HD",2017,"hd2016.xlsx","OPEID_10071","Office of Postsecondary Education (OPE) ID Number"
10181,"OPENPUBL","N",2,"Disc",NA,"Institution open to the general public","HD",2017,"hd2016.xlsx","OPENPUBL_10181","Institution open to the general public"
10211,"POSTSEC","N",2,"Disc",NA,"Primarily postsecondary indicator","HD",2017,"hd2016.xlsx","POSTSEC_10211","Primarily postsecondary indicator"
10216,"PSEFLAG","N",2,"Disc",NA,"Postsecondary institution indicator","HD",2017,"hd2016.xlsx","PSEFLAG_10216","Postsecondary institution indicator"
10221,"PSET4FLG","N",2,"Disc",NA,"Postsecondary and Title IV institution indicator","HD",2017,"hd2016.xlsx","PSET4FLG_10221","Postsecondary and Title IV institution indicator"
15055,"RPTMTH","N",2,"Disc",NA,"Reporting method for student charges, graduation rates, retention rates and student financial aid","HD",2017,"hd2016.xlsx","RPTMTH_15055","Reporting method for student charges, graduation rates, retention rates and student financial aid"
10086,"SECTOR","N",2,"Disc",NA,"Sector of institution","HD",2017,"hd2016.xlsx","SECTOR_10086","Sector of institution"
10016,"STABBR","A",2,"Disc",NA,"State abbreviation","HD",2017,"hd2016.xlsx","STABBR_10016","State abbreviation"
10166,"TRIBAL","N",2,"Disc",NA,"Tribal college","HD",2017,"hd2016.xlsx","TRIBAL_10166","Tribal college"
10106,"UGOFFER","N",2,"Disc",NA,"Undergraduate offering","HD",2017,"hd2016.xlsx","UGOFFER_10106","Undergraduate offering"
1,"UNITID","N",6,"Cont",NA,"Unique identification number of the institution","HD",2017,"hd2016.xlsx","UNITID_1","Unique identification number of the institution"
16131,"VETURL","A",200,"Alpha",NA,"Veterans and Military Servicemembers tuition policies web address","HD",2017,"hd2016.xlsx","VETURL_16131","Veterans and Military Servicemembers tuition policies web address"
10081,"WEBADDR","A",150,"Alpha",NA,"Institution's internet website address","HD",2017,"hd2016.xlsx","WEBADDR_10081","Institution's internet website address"
10021,"ZIP","A",10,"Alpha",NA,"ZIP code","HD",2017,"hd2016.xlsx","ZIP_10021","ZIP code"
